"filename", "language", "Python", "HTML", "JavaScript", "sqlite3-editor-database", "XML", "comment", "blank", "total"
"c:\Users\Jolan\Desktop\proximitylinked\registerandlogin\templates\registerandlogin\password_reset_confirm.html", "HTML", 0, 8, 0, 0, 0, 0, 2, 10
"c:\Users\Jolan\Desktop\proximitylinked\registerandlogin\templates\registerandlogin\password_reset_done.html", "HTML", 0, 5, 0, 0, 0, 0, 1, 6
"c:\Users\Jolan\Desktop\proximitylinked\registerandlogin\templates\registerandlogin\password_reset_email.html", "HTML", 0, 7, 0, 0, 0, 0, 5, 12
"c:\Users\Jolan\Desktop\proximitylinked\registerandlogin\templates\registerandlogin\register.html", "HTML", 0, 92, 0, 0, 0, 0, 20, 112
"c:\Users\Jolan\Desktop\proximitylinked\registerandlogin\tests.py", "Python", 1, 0, 0, 0, 0, 1, 2, 4
"c:\Users\Jolan\Desktop\proximitylinked\registerandlogin\urls.py", "Python", 13, 0, 0, 0, 0, 0, 3, 16
"c:\Users\Jolan\Desktop\proximitylinked\registerandlogin\views.py", "Python", 99, 0, 0, 0, 0, 0, 22, 121
"c:\Users\Jolan\Desktop\proximitylinked\sitesettings\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Jolan\Desktop\proximitylinked\sitesettings\admin.py", "Python", 1, 0, 0, 0, 0, 1, 2, 4
"c:\Users\Jolan\Desktop\proximitylinked\sitesettings\apps.py", "Python", 4, 0, 0, 0, 0, 0, 2, 6
"c:\Users\Jolan\Desktop\proximitylinked\sitesettings\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Jolan\Desktop\proximitylinked\sitesettings\models.py", "Python", 1, 0, 0, 0, 0, 1, 2, 4
"c:\Users\Jolan\Desktop\proximitylinked\sitesettings\templates\sitesettings\sitesettings.html", "HTML", 0, 11, 0, 0, 0, 1, 5, 17
"c:\Users\Jolan\Desktop\proximitylinked\sitesettings\tests.py", "Python", 1, 0, 0, 0, 0, 1, 2, 4
"c:\Users\Jolan\Desktop\proximitylinked\sitesettings\urls.py", "Python", 5, 0, 0, 0, 0, 0, 2, 7
"c:\Users\Jolan\Desktop\proximitylinked\sitesettings\views.py", "Python", 5, 0, 0, 0, 0, 0, 2, 7
