"filename", "language", "Python", "CSS", "JavaScript", "XML", "HTML", "Batch", "Markdown", "sqlite3-editor-database", "comment", "blank", "total"
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\css\base.css", "CSS", 0, 935, 0, 0, 0, 0, 0, 0, 32, 217, 1184
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\css\changelists.css", "CSS", 0, 273, 0, 0, 0, 0, 0, 0, 8, 63, 344
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\css\dark_mode.css", "CSS", 0, 96, 0, 0, 0, 0, 0, 0, 6, 29, 131
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\css\dashboard.css", "CSS", 0, 21, 0, 0, 0, 0, 0, 0, 2, 7, 30
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\css\forms.css", "CSS", 0, 387, 0, 0, 0, 0, 0, 0, 12, 100, 499
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\css\login.css", "CSS", 0, 49, 0, 0, 0, 0, 0, 0, 1, 12, 62
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\css\nav_sidebar.css", "CSS", 0, 125, 0, 0, 0, 0, 0, 0, 0, 26, 151
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\css\responsive.css", "CSS", 0, 677, 0, 0, 0, 0, 0, 0, 31, 201, 909
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\css\responsive_rtl.css", "CSS", 0, 70, 0, 0, 0, 0, 0, 0, 2, 18, 90
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\css\rtl.css", "CSS", 0, 223, 0, 0, 0, 0, 0, 0, 8, 63, 294
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\css\unusable_password_field.css", "CSS", 0, 13, 0, 0, 0, 0, 0, 0, 3, 4, 20
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\css\vendor\select2\LICENSE-SELECT2.md", "Markdown", 0, 0, 0, 0, 0, 0, 17, 0, 0, 5, 22
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\css\vendor\select2\select2.css", "CSS", 0, 425, 0, 0, 0, 0, 0, 0, 0, 57, 482
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\css\vendor\select2\select2.min.css", "CSS", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\css\widgets.css", "CSS", 0, 503, 0, 0, 0, 0, 0, 0, 9, 102, 614
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\img\calendar-icons.svg", "XML", 0, 0, 0, 63, 0, 0, 0, 0, 0, 1, 64
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\img\gis\move_vertex_off.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\img\gis\move_vertex_on.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\img\icon-addlink.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\img\icon-alert.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\img\icon-calendar.svg", "XML", 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\img\icon-changelink.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\img\icon-clock.svg", "XML", 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\img\icon-deletelink.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\img\icon-hidelink.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\img\icon-no.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\img\icon-unknown-alt.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\img\icon-unknown.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\img\icon-viewlink.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\img\icon-yes.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\img\inline-delete.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\img\search.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\img\selector-icons.svg", "XML", 0, 0, 0, 34, 0, 0, 0, 0, 0, 1, 35
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\img\sorting-icons.svg", "XML", 0, 0, 0, 19, 0, 0, 0, 0, 0, 1, 20
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\img\tooltag-add.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\img\tooltag-arrowright.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\SelectBox.js", "JavaScript", 0, 0, 111, 0, 0, 0, 0, 0, 5, 1, 117
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\SelectFilter2.js", "JavaScript", 0, 0, 258, 0, 0, 0, 0, 0, 28, 22, 308
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\actions.js", "JavaScript", 0, 0, 175, 0, 0, 0, 0, 0, 9, 21, 205
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\admin\DateTimeShortcuts.js", "JavaScript", 0, 0, 317, 0, 0, 0, 0, 0, 65, 27, 409
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\admin\RelatedObjectLookups.js", "JavaScript", 0, 0, 216, 0, 0, 0, 0, 0, 14, 23, 253
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\autocomplete.js", "JavaScript", 0, 0, 28, 0, 0, 0, 0, 0, 2, 4, 34
