"filename", "language", "JavaScript", "CSS", "HTML", "XML", "Markdown", "Python", "comment", "blank", "total"
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\select2\i18n\he.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\select2\i18n\hi.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\select2\i18n\hr.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\select2\i18n\hsb.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\select2\i18n\hu.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\select2\i18n\hy.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\select2\i18n\id.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\select2\i18n\is.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\select2\i18n\it.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\select2\i18n\ja.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\select2\i18n\ka.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\select2\i18n\km.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\select2\i18n\ko.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\select2\i18n\lt.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\select2\i18n\lv.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\select2\i18n\mk.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\select2\i18n\ms.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\select2\i18n\nb.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\select2\i18n\ne.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\select2\i18n\nl.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1, 1, 3
