Date : 2025-05-12 17:04:57
Directory : c:\Users\Jolan\Desktop\proximitylinked
Total : 169 files,  28974 codes, 4488 comments, 6618 blanks, all 40080 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\select2\i18n\az.js                    | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\select2\i18n\bg.js                    | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\select2\i18n\bn.js                    | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\select2\i18n\bs.js                    | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\select2\i18n\ca.js                    | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\select2\i18n\cs.js                    | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\select2\i18n\da.js                    | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\select2\i18n\de.js                    | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\select2\i18n\dsb.js                   | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\select2\i18n\el.js                    | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\select2\i18n\en.js                    | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\select2\i18n\es.js                    | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\select2\i18n\et.js                    | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\select2\i18n\eu.js                    | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\select2\i18n\fa.js                    | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\select2\i18n\fi.js                    | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\select2\i18n\fr.js                    | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\select2\i18n\gl.js                    | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\select2\i18n\he.js                    | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\select2\i18n\hi.js                    | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\select2\i18n\hr.js                    | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\select2\i18n\hsb.js                   | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\select2\i18n\hu.js                    | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\select2\i18n\hy.js                    | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\select2\i18n\id.js                    | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\select2\i18n\is.js                    | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\select2\i18n\it.js                    | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\select2\i18n\ja.js                    | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\select2\i18n\ka.js                    | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\select2\i18n\km.js                    | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\select2\i18n\ko.js                    | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\select2\i18n\lt.js                    | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\select2\i18n\lv.js                    | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\select2\i18n\mk.js                    | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\select2\i18n\ms.js                    | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\select2\i18n\nb.js                    | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\select2\i18n\ne.js                    | JavaScript |          1 |          1 |          1 |          3 |
